,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
3085,ELEC,Round Rock Nissan,3050 N IH-35,,Round Rock,TX,78681,,512-244-8500,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,GPS,30.54315305,-97.69371065,2020-06-09,39748,2023-10-27 19:25:04 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,Public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,,False
3342,ELEC,PIE AE OTC 3FL PKGSTA3,505 Barton Springs Rd,,Austin,TX,78704,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.256917,-97.749169,2023-10-30,40372,2023-10-30 00:26:11 UTC,,,,2011-05-15,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
3455,ELEC,PIE AE ANIMAL SERVICE2,7201 Levander Loop,,Austin,TX,78702,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.251357,-97.689015,2023-10-30,41265,2023-10-30 00:26:01 UTC,,,,2011-12-31,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
3456,ELEC,PIE AE PUBDITTMAR2,1009 W Dittmar Rd,,Austin,TX,78745,,888-758-4389,T,2023-07-24,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.18534,-97.801184,2023-10-30,41266,2023-10-30 00:26:12 UTC,,,,2011-09-01,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
3457,ELEC,PIE AE MILWOOD LIB 2,12500 Amherst Dr,,Austin,TX,78727,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.422284,-97.71646,2023-10-30,41269,2023-10-30 00:26:07 UTC,,,,2011-09-01,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
3458,ELEC,PIE AE PUB-STDAVIDSST1,710 Trinity St,,Austin,TX,78701,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.268887,-97.738936,2023-10-30,41272,2023-10-30 00:43:16 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5091,ELEC,Round Rock Nissan,3050 N IH-35,,Round Rock,TX,78681,,512-244-8500,E,,Private - Call ahead,7AM-8PM M-Sat,,,,,,1.0,,,Non-Networked,,GPS,30.54315305,-97.69371065,2020-06-09,48242,2023-10-27 19:25:04 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé - Appeler à l'avance,,Private,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,False
5120,ELEC,Clay Cooley Nissan,4914 S IH-35,,Austin,TX,78745,,512-444-1400,E,,Private,,,,,,,1.0,,,Non-Networked,,200-9,30.206145,-97.759109,2020-06-09,48318,2023-02-15 22:45:41 UTC,P,,,2011-01-15,,,,,J1772,US,,,,Privé,,Private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,False
5121,ELEC,Town North Nissan,9160A Research Blvd,,Austin,TX,78758,,512-451-7411,E,,Private,,,,,,,1.0,,,Non-Networked,,200-9,30.374542,-97.731445,2022-12-13,48319,2023-02-14 15:54:11 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Privé,,Private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,False
5277,E85,Circle K #1308,8656 Spicewood Springs Rd,"Highway 183 N southbound Frontage Rd. Traveling south on Highway 183 N, take Anderson Mill exit.",Austin,TX,78759,,512-258-8411,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-8,30.43345,-97.77099,2023-09-14,48956,2023-09-14 14:01:49 UTC,P,,,2020-05-01,,,,False,,US,,,,Public,,Public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,False,,,,,,,,MD,
5410,LPG,Eanes Independent School District,1110 Westbank Dr,,Austin,TX,78746,,,E,,Private,,,,,,,,,,,,200-9,30.276395,-97.810292,2023-08-10,49614,2023-08-10 16:58:49 UTC,P,,,2012-11-12,,,,,,US,,,,Privé,,Private,,,FLEET_GARAGE,,,,,,,,,,,,,,,,,,,,,,,,,HD,
5411,LPG,Leander Independent School District - Central Office,1701 W New Hope Dr,Lakeline and W New Hope,Cedar Park,TX,78613,,,E,,Private,,,,,,,,,,,,200-9,30.52697,-97.858188,2023-08-10,49615,2023-08-10 16:58:49 UTC,P,,,2009-01-01,,,,,,US,,,,Privé,,Private,,,FLEET_GARAGE,,,,,,,,,,,,,,,,,,,,,,,,,HD,
5646,LPG,Austin Independent School District,3300 Jones Rd,,Austin,TX,78745,,,E,,Private,,,,,,,,,,,,GPS,30.231971,-97.812681,2022-04-06,50103,2023-02-14 15:54:11 UTC,P,,,2012-12-18,,,,,,US,,,,Privé,,Private,,,FLEET_GARAGE,,,,,,,,,"[""ACME""]",,,,,,,,,,,,,,,,MD,
5647,LPG,Austin Independent School District,7105 Berkman Dr,,Austin,TX,78752,,,E,,Private,,,,,,,,,,,,200-9,30.324043,-97.68837,2022-04-06,50104,2023-02-14 15:54:11 UTC,P,,,2012-12-18,,,,,,US,,,,Privé,,Private,,,FLEET_GARAGE,,,,,,,,,"[""ACME""]",,,,,,,,,,,,,,,,MD,
5648,LPG,Austin Independent School District,7200 Bluff Springs Rd,,Austin,TX,78744,,,E,,Private,,,,,,,,,,,,200-9,30.182031,-97.769888,2022-04-06,50105,2023-02-14 15:54:11 UTC,P,,,2016-01-06,,,,,,US,,,,Privé,,Private,,,FLEET_GARAGE,,,,,,,,,"[""ACME""]",,,,,,,,,,,,,,,,MD,
5651,LPG,Royal Palms Manufactured Home & RV Community,7901 E Ben White Blvd,,Austin,TX,78741,,512-385-2211,E,,Public,"9am-5:30pm M-F, 9am-1pm Sat",Cash Checks D M V,,,,,,,,,,200-9,30.219269,-97.687927,2023-07-11,50111,2023-07-11 18:28:56 UTC,P,,,2012-12-18,,,True,,,US,,,,Public,,Public,,,CAMPGROUND,,,,,,,,,"[""ACME""]",,,,,,,,False,,,,,,,,HD,
6270,ELEC,PIE AE ERCOT 3,7620 Metro Center Dr,,Austin,TX,78744,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.216443,-97.69223,2023-10-30,52837,2023-10-30 00:36:40 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
6615,E85,Corner Store #1550,1221 E New Hope Dr,Station is on NW corner of intersection. E85 sign is small and low-to-ground.,Cedar Park,TX,78613,,512-260-7795,E,,Public,24 hours daily,A Cash D M V,,,,,,,,,,200-9,30.537892,-97.81735,2023-09-14,53793,2023-09-14 14:01:49 UTC,P,,,2013-12-15,,,,False,,US,,,,Public,,Public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,False,,,,,,,,MD,
7291,E85,Circle K #274551,12300 Harris Branch Pkwy,,Manor,TX,78653,,512-278-8004,E,,Public,24 hours daily,A Cash D M V,,,,,,,,,,200-8,30.36943,-97.61375,2023-10-12,61906,2023-10-12 13:37:08 UTC,P,,,2014-01-01,,,,False,,US,,,,Public,,Public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,False,,,,,,,,MD,
7373,ELEC,PIE AE PUBPEARSON CTR1,400 Center Ridge Dr,,Austin,TX,78753,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.417411,-97.664204,2023-10-30,62244,2023-10-30 00:40:02 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
7420,CNG,Trillium - City of Austin,2400 Business Center Dr,Surrounded by S Industrial Ln on west and Todd Ln on east. Northside of Highway 71 Todd Ln is called Burleson. Located across from City Waste Services Facility.,Austin,TX,78744,,800-920-1166,E,,Private - Government only,,,,Q,3600,,,,,,,200-9,30.213718,-97.738941,2023-02-13,62453,2023-05-30 18:46:28 UTC,LG,,,2008-02-15,,HD,,,,US,,,,Privé - Réservé au gouvernement,,Private,GOVERNMENT,,MUNI_GOV,,,,,,,,,,,,Q,3600,HD,,,,,,,,,,,HD,
7722,E85,H-E-B #639,1801 E 51st St,51st St and Berkman Dr,Austin,TX,78723,,512-474-2199,E,,Public - Credit card after hours,6am-12am daily,A Cash D M V,,,,,,,,,,200-9,30.302619,-97.699409,2023-09-14,63388,2023-09-14 14:01:49 UTC,P,,,2014-09-01,,,,False,,US,,,,Public - Carte de crédit après les heures d'ouverture,,Public,CREDIT_CARD_AFTER_HOURS,,GROCERY,,,,,,,,,,,,,,,,,False,,,,,,,,MD,
7846,CNG,CNG 4 America - Austin,907 E St Johns Ave,"Behind the Pollo Campero restaurant/ Sunrise Mini Mart. Notable by iron fence surrounding property. Primary signage is Pollo Campero. CNG is the only fuel sold, currently no CNG signage",Austin,TX,78752,,888-560-5556,E,,Public - Credit card at all times,24 hours daily,A D FuelMan M V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,30.330588,-97.701649,2023-06-12,63757,2023-06-12 16:56:16 UTC,P,,,2016-01-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,Public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,2.0,,430.0,60300.0,,,,,,,,Q,3600,HD,,,False,,,,,,False,,HD,
8205,ELEC,PIE AE PALMER STATION4,846888 Barton Springs Rd,,Austin,TX,78704,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.259769,-97.752509,2023-10-30,65374,2023-10-30 00:36:17 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
8300,ELEC,PIE AE HEB E51ST DCFC1,1801 E 51st St,,Austin,TX,78723,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.302274,-97.697951,2023-10-30,65642,2023-10-30 00:40:32 UTC,,,,2015-02-11,,,,,CHADEMO J1772COMBO,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
9143,LPG,U-Haul,9001 I-35 S,Southeast corner of Slaughter and I-35,Austin,TX,78744,,512-280-3232,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,30.166413,-97.784412,2023-02-13,68637,2023-02-14 15:54:11 UTC,P,,,2015-07-31,,,False,,,US,,,,Public - Appeler à l'avance,,Public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,False,,,,,,,,,
9144,LPG,U-Haul,5412 N Lamar Blvd,Corner of Houston and Lamar,Austin,TX,78751,,512-451-7365,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,30.322728,-97.72878,2023-02-13,68639,2023-02-14 15:54:11 UTC,P,,,2015-07-31,,,True,,,US,,,,Public,,Public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,False,,,,,,,,HD,
9145,LPG,U-Haul,304 E Ben White Blvd,,Austin,TX,78704,,512-447-9875,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,30.222064,-97.760702,2023-02-13,68640,2023-02-14 15:54:11 UTC,P,,,2015-07-31,,,True,,,US,,,,Public,,Public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,False,,,,,,,,,
9146,LPG,U-Haul,6610 Burnet Rd,,Austin,TX,78757,,512-302-3604,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,30.34305,-97.739175,2023-02-13,68641,2023-02-14 15:54:11 UTC,P,,,2015-07-31,,,False,,,US,,,,Public,,Public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,False,,,,,,,,HD,
9172,LPG,U-Haul,1617 Three Points Rd,Grand Avenue Pkwy and Vision (IH-35 South).,Pflugerville,TX,78660,,512-251-7491,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,30.451792,-97.663336,2023-02-13,68672,2023-02-14 15:54:11 UTC,P,,,2015-07-31,,,True,,,US,,,,Public,,Public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,False,,,,,,,,HD,
9174,LPG,U-Haul,1535 Round Rock Ave,Cross Street Deep Wood Drive,Round Rock,TX,78681,,512-218-9099,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,30.511964,-97.700075,2023-02-13,68674,2023-02-14 15:54:11 UTC,P,,,2015-07-31,,,True,,,US,,,,Public,,Public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,False,,,,,,,,HD,
9566,ELEC,HPI 3700 3900 SC 3,3900 N Capital of Texas Hwy,,Austin,TX,78746,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.337931,-97.807977,2023-10-30,70514,2023-10-30 00:28:12 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
10873,ELEC,PIE AE PALMER STATION5,736 Barton Springs Rd,,Austin,TX,78704,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.259705,-97.752496,2023-10-30,78778,2023-10-30 00:36:17 UTC,,,,2016-09-28,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
11348,ELEC,CITY VIEW STATION1,1250 S Capital of Texas Hwy,,Austin,TX,78746,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.280698,-97.824024,2023-10-30,81050,2023-10-30 00:26:31 UTC,,,,2017-01-28,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
11801,ELEC,STEINER RANCH 1 STEINER2,4800 Steiner Ranch Blvd,,Austin,TX,78732,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.383012,-97.874313,2023-10-30,82741,2023-10-30 00:21:39 UTC,,,,2017-05-26,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
12465,ELEC,PIE AE VILLATGRACYFARM,2600 Gracy Farms Ln,,Austin,TX,78758,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.405175,-97.711583,2023-10-30,88242,2023-10-30 00:21:28 UTC,,,,2017-11-01,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
12940,ELEC,BRANDYWINE AUST FOUR POINTS 01,11305 4 Points Dr,,Austin,TX,78726,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.404059,-97.850068,2023-10-30,92339,2023-10-30 00:22:03 UTC,,,,2018-03-07,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
13036,ELEC,COA NEWCENTRALLIB4,710 W Cesar Chavez St,,Austin,TX,78701,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.266132,-97.751803,2023-10-30,94387,2023-10-30 00:24:29 UTC,,,,2018-03-22,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
13401,ELEC,ORACLE ATX23 G1 1,2300 cloudway,,Austin,TX,78741,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.241969,-97.720292,2023-10-30,96842,2023-10-30 00:21:24 UTC,,,,2018-04-28,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
13415,ELEC,WEINSTEIN ANDERSON 1,8601 Anderson Mill Rd,,Austin,TX,78729,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.455107,-97.768221,2023-10-30,96899,2023-10-30 00:23:33 UTC,,,,2018-05-04,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
13416,ELEC,WEINSTEIN SILVERADO 1,12930 W Parmer Ln,,Cedar Park,TX,78613,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.532399,-97.779871,2023-10-30,96901,2023-10-30 00:23:33 UTC,,,,2018-05-04,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
13417,ELEC,WEINSTEIN WHITESTONE 1,13945 Research Blvd,,Austin,TX,78729,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.471863,-97.796031,2023-10-30,96902,2023-10-30 00:23:33 UTC,,,,2018-05-04,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
13440,ELEC,ST. ED'S GARAGE STATION1,578 Woodward St,,Austin,TX,78704,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.226907,-97.751966,2023-10-30,96978,2023-10-30 00:24:28 UTC,,,,2018-05-10,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
13492,ELEC,PIE AE WEST LAKE DC4,701 S Capital of Texas Hwy,,Austin,TX,78746,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.292583,-97.827741,2023-10-30,98528,2023-10-30 00:46:18 UTC,,,,2018-05-25,,,,,CHADEMO J1772COMBO,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
13740,ELEC,Cedar Park Nissan,2121 S Bell Blvd,,Cedar Park,TX,78613,,512-620-7200,E,,Public,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-9,30.484634,-97.807088,2020-06-09,99512,2023-02-15 22:45:41 UTC,P,,,2018-06-28,,,,,J1772,US,,,,Public,,Public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,,False
13741,ELEC,Cedar Park Nissan,2121 S Bell Blvd,,Cedar Park,TX,78613,,512-620-7200,E,,Private,,,,,,,1.0,,,Non-Networked,,200-9,30.484634,-97.807088,2020-06-09,99513,2023-02-15 22:45:41 UTC,P,,,2018-06-28,,,,,J1772,US,,,,Privé,,Private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,False
